metric,n,method,group,n_datasets,mean_before,mean_after,mean_delta,median_delta,win_rate
CRPS,500,Gamma-GLM,baseline,37,4427.1855390164965,4253.669248430526,-173.5162905859703,-0.010523787453414979,0.6486486486486487
CRPS,500,Gamma-GLM-Ridge,baseline,39,5058.568838110015,5091.4914644188,32.92262630878511,-0.0001342254220279976,0.6153846153846154
CRPS,500,LinGauss-Hetero-Ridge,baseline,39,21086.661101041864,20495.908396284583,-590.752704757281,-0.003815060399833481,0.5897435897435898
CRPS,500,LinGauss-Homo-Ridge,baseline,39,14407.094703968996,14157.317091970908,-249.77761199809015,-0.004129443071533408,0.6153846153846154
CRPS,500,LinearGauss-Hetero,baseline,37,17936.181561713413,17660.254568516513,-275.9269931968981,-0.02885684585607673,0.6216216216216216
CRPS,500,LinearGauss-Homo,baseline,37,15385.375318591237,15134.781462290772,-250.59385630046515,-0.016886303974360084,0.6756756756756757
CRPS,500,LogNormal-Hetero,baseline,37,5217.484260268596,5203.349586842516,-14.13467342607898,-0.00048742047798826585,0.5135135135135135
CRPS,500,LogNormal-Hetero-Ridge,baseline,39,4547.404178303634,4598.3293927693385,50.92521446570497,7.816983482452169e-07,0.48717948717948717
CRPS,500,LogNormal-Homo,baseline,37,4222.002714486941,4230.038485404563,8.035770917621738,-0.00860540690681981,0.6756756756756757
CRPS,500,LogNormal-Homo-Ridge,baseline,39,3845.497798349495,3852.819920642426,7.322122292930729,-0.00821301348732617,0.6410256410256411
CRPS,500,MDN,baseline,39,4104.325082494905,4143.905359674278,39.58027717937413,2.4089080598933485e-05,0.4358974358974359
CRPS,500,Quantile-Tree,baseline,39,4067.263173339979,4140.093057320892,72.82988398091221,0.0007044588332245794,0.3076923076923077
CRPS,500,Student-t,baseline,37,15218.827530901848,15122.028743669296,-96.79878723254852,-0.009111421820085397,0.6216216216216216
CRPS,500,Student-t-Ridge,baseline,39,4517.319477519535,4410.4595391839,-106.85993833563566,-0.0015480183145955007,0.5641025641025641
CRPS,500,RealTabPFN-2.5,foundation,39,2702.487378663736,2704.671777884776,2.184399221040335,0.010311827563595943,0.28205128205128205
CRPS,500,TabICL-Quantiles,foundation,39,2796.522393495698,2813.389927437968,16.867533942270068,0.01501645768633142,0.15384615384615385
CRPS,500,TabPFN-2.5,foundation,39,2738.685389270732,2747.1257250978547,8.44033582712286,0.010000945804868433,0.3076923076923077
CRPS,1000,BART-Hetero,baseline,39,8504.266660120305,5172.873427353676,-3331.393232766631,-0.8051022527148533,0.9743589743589743
CRPS,1000,BART-Homo,baseline,39,10209.139383454587,8940.47946805118,-1268.6599154034072,-0.5499673071463747,0.8974358974358975
CRPS,1000,CatMLP,baseline,39,4471.77906914023,4350.7397222872305,-121.0393468529993,-0.00018223571641943354,0.6410256410256411
CRPS,1000,FlexCode-RF,baseline,39,5013.006913231121,4024.2302669311644,-988.7766462999559,-0.5762630307902477,0.9743589743589743
CRPS,1000,Flow-Spline,baseline,39,3535.8022065172972,3499.0768659883843,-36.7253405289127,-6.847588784688469e-06,0.5384615384615384
CRPS,1000,Gamma-GLM,baseline,39,3959.943236636027,3772.687948540006,-187.25528809602116,-0.03147984888914346,0.7692307692307693
CRPS,1000,Gamma-GLM-Ridge,baseline,39,5159.946268060613,5152.912326521456,-7.033941539156688,-0.10097619634735988,0.8205128205128205
CRPS,1000,LinGauss-Hetero-Ridge,baseline,39,21281.343224612156,20521.27308250476,-760.070142107396,-0.0034036012834307537,0.6923076923076923
CRPS,1000,LinGauss-Homo-Ridge,baseline,39,15703.836389854638,15230.856901959409,-472.9794878952292,-0.007189989562776056,0.7948717948717948
CRPS,1000,LinearGauss-Hetero,baseline,39,17129.696771544077,16841.40358167928,-288.2931898647972,-0.0016805229076775063,0.717948717948718
CRPS,1000,LinearGauss-Homo,baseline,39,15700.99482633775,15230.686074201669,-470.30875213608243,-0.006155923868902402,0.7948717948717948
CRPS,1000,LogNormal-Hetero,baseline,39,4194.136638831724,4217.646201551613,23.509562719888077,-0.0017474644850867804,0.6923076923076923
CRPS,1000,LogNormal-Hetero-Ridge,baseline,39,4225.895479683206,4252.311967280422,26.416487597216275,-0.0004376133291366102,0.6410256410256411
CRPS,1000,LogNormal-Homo,baseline,39,3807.3591794778754,3758.801352280999,-48.557827196876666,-0.04724275193261729,0.7692307692307693
CRPS,1000,LogNormal-Homo-Ridge,baseline,39,3808.1913474312773,3785.7493229736665,-22.442024457610998,-0.05515030322763437,0.7692307692307693
CRPS,1000,MDN,baseline,39,3447.220875343102,3425.000350901483,-22.22052444161834,6.196999747316856e-05,0.41025641025641024
CRPS,1000,Quantile-Tree,baseline,39,3524.0469114891484,3558.2687586702427,34.22184718109418,0.003052415434478206,0.20512820512820512
CRPS,1000,Student-t,baseline,39,15329.727005303459,15190.709606071463,-139.0173992319995,-0.0024393149300161454,0.6410256410256411
CRPS,1000,Student-t-Ridge,baseline,39,4283.926179799669,4125.732476731116,-158.19370306855248,-0.0025597863649962083,0.6666666666666666
CRPS,1000,RealTabPFN-2.5,foundation,39,2370.106425746253,2358.458038285986,-11.648387460267296,0.00014090224455798328,0.38461538461538464
CRPS,1000,TabICL-Quantiles,foundation,39,2438.7176167388857,2423.8830653884006,-14.834551350484839,6.530581113981665e-05,0.38461538461538464
CRPS,1000,TabPFN-2.5,foundation,39,2392.1664129340584,2380.004980750363,-12.16143218369533,0.00013647153720613807,0.38461538461538464
CRPS,5000,BART-Hetero,baseline,34,9019.879499646211,4866.882121340042,-4152.99737830617,-0.16241716144560958,0.9705882352941176
CRPS,5000,BART-Homo,baseline,34,10775.275987594046,9287.965017676152,-1487.3109699178963,-0.11596758492232984,0.9705882352941176
CRPS,5000,CatMLP,baseline,34,3317.3526467225174,3298.205926132216,-19.14672059030134,-6.485314174303237e-05,0.6176470588235294
CRPS,5000,FlexCode-RF,baseline,34,4958.292506317631,4007.588423706103,-950.7040826115275,-0.7412008705816462,0.9705882352941176
CRPS,5000,Flow-Spline,baseline,34,2782.823917685492,2764.0747242791563,-18.749193406335593,-0.0021502707803102566,0.7352941176470589
CRPS,5000,Gamma-GLM,baseline,34,4274.99214842896,4043.7806464165865,-231.2115020123743,-0.20895904552219036,0.9411764705882353
CRPS,5000,Gamma-GLM-Ridge,baseline,34,5967.749986652142,5953.88837487492,-13.861611777221272,-0.11100962392693192,0.8823529411764706
CRPS,5000,LinGauss-Hetero-Ridge,baseline,34,25028.87524965795,24126.84088972477,-902.0343599331809,-0.011064270688554645,0.7647058823529411
CRPS,5000,LinGauss-Homo-Ridge,baseline,34,19973.83958614887,19675.510805662834,-298.3287804860348,-0.018646475890913283,0.8235294117647058
CRPS,5000,LinearGauss-Hetero,baseline,34,20964.94249719197,20576.625335173252,-388.317162018713,-0.007114617920098709,0.7058823529411765
CRPS,5000,LinearGauss-Homo,baseline,34,19980.501482427153,19685.08982010066,-295.4116623264976,-0.01536353001900892,0.8235294117647058
CRPS,5000,LogNormal-Hetero,baseline,34,4073.4368006380205,4066.3009121374944,-7.135888500526415,-0.009943844952556957,0.7941176470588235
CRPS,5000,LogNormal-Hetero-Ridge,baseline,34,4069.430601152768,4056.1550056750875,-13.275595477679914,-0.06382975734861729,0.8823529411764706
