dataset,n,method,group,n_test,status,CDE_loss__before,CDE_loss__after,log_lik__before,log_lik__after,CRPS__before,CRPS__after,PIT_KS__before,PIT_KS__after,coverage_90__before,coverage_90__after,interval_width__before,interval_width__after,coverage_abs_err__before,coverage_abs_err__after
BrazilianHouses,1000,LinGauss-Homo-Ridge,baseline,250,ok,-0.0034725943143585113,-0.0034725943143585117,-10.767176098014305,-10.767176098014305,7142.5890402010045,7142.5890402010045,0.33886681261888474,0.33886681261888474,0.684,0.684,172.38656080401998,172.38656080401998,0.21599999999999997,0.21599999999999997
BrazilianHouses,1000,LinGauss-Hetero-Ridge,baseline,250,ok,-0.0009161810840427535,-0.0009117449730765869,-20.220942712007034,-20.220879624861322,19995.38877079554,19995.412899497485,0.844,0.844,0.156,0.156,39.36367496161598,39.31623316582917,0.744,0.744
BrazilianHouses,1000,Student-t-Ridge,baseline,250,ok,-0.00461026369494676,-0.00417191987998589,-5.256628137126436,-5.2241619880650765,31.05689851117883,33.72152093548152,0.37823348731021295,0.2779061120482345,1.0,1.0,282.94363709670193,262.5197404950251,0.09999999999999998,0.09999999999999998
BrazilianHouses,1000,LogNormal-Homo-Ridge,baseline,250,ok,-0.0003692043909510458,-0.000352588429523323,-8.203708893078877,-8.20376205042568,616.587364525663,619.2146148248553,0.07821811647494231,0.0320188928505868,0.928,0.92,3644.632053943131,3581.4432539777245,0.028000000000000025,0.020000000000000018
BrazilianHouses,1000,LogNormal-Hetero-Ridge,baseline,250,ok,-0.00015927103522908617,-0.00027276088469850536,-8.789099374011261,-8.5919938603552,888.9711824201648,872.2887959998949,0.17619819386417135,0.11184402278666347,0.68,0.784,2116.453082999087,2596.357935866911,0.21999999999999997,0.11599999999999999
BrazilianHouses,1000,Gamma-GLM-Ridge,baseline,250,ok,-0.00027815306562808137,-0.00027186817174768653,-8.388036155993328,-8.396291825804932,685.355146960623,691.0002450458105,0.037917868543979494,0.04128952283751497,0.92,0.94,4273.990646187003,4482.811166962224,0.020000000000000018,0.039999999999999925
BrazilianHouses,1000,BART-Homo,baseline,250,ok,-9.201487282046306e-05,-0.00011743389962089376,-9.50739655230191,-9.353438893686977,1987.748833129187,1926.6878696889507,0.1471419195010785,0.050128245143692865,0.948,0.84,13091.838096864969,10033.38288110014,0.04799999999999993,0.06000000000000005
BrazilianHouses,1000,BART-Hetero,baseline,250,ok,-0.00011136381740804229,-0.001160116193339422,-9.026089711547687,-7.344070296973914,1142.9979318383066,326.32623979494474,0.660635170072432,0.3299817150079899,0.996,0.888,8669.631072072216,1460.4121910827237,0.09599999999999997,0.01200000000000001
BrazilianHouses,1000,CatMLP,baseline,250,ok,-0.00026498536936115415,-0.0002659946105787001,-8.645857429828995,-8.626371364969724,814.1164723448239,807.6499010148214,0.07337509432133196,0.031592115716948144,0.936,0.912,5193.088450906964,4679.613421323534,0.03600000000000003,0.01200000000000001
BrazilianHouses,10000,FlexCode-RF,baseline,2500,ok,-2.332612192730345e-05,-8.417892078429745e-05,-10.945952509435447,-9.377952124328639,9598.107541296928,1133.3894592462477,0.47112601194310466,0.286221389781837,1.0,0.9868,439243.1869232822,15356.610439734084,0.09999999999999998,0.08679999999999999
BrazilianHouses,10000,TabPFN-2.5,foundation,2500,ok,3.882673433019089e-05,3.726530369688453e-05,-15.60202066617537,-15.613382773056522,118927.27342874125,110290.98469655924,0.15060066535432193,0.09803803151670534,0.8184,0.85,438198.6705066647,438723.7076516686,0.0816,0.050000000000000044
BrazilianHouses,10000,RealTabPFN-2.5,foundation,2500,ok,5.0350531243197684e-05,4.1670065580813755e-05,-15.147348758998083,-15.130711257416074,65817.87891039773,59585.138468410514,0.17648075347283368,0.08021098428034465,0.7808,0.8388,220304.9383431198,271533.02388584067,0.11919999999999997,0.06120000000000003
BrazilianHouses,10000,TabICL-Quantiles,foundation,2500,ok,-8.078813363283302e-05,-8.160719177346985e-05,-9.43109090381752,-9.418842417368388,834.2545592800093,861.875043431459,0.2575695622279671,0.25905396308052664,0.9996,0.9992,16184.73877965229,15933.990649395751,0.09960000000000002,0.09919999999999995
BrazilianHouses,10000,LinearGauss-Homo,baseline,2500,ok,-6.106952407319934e-06,-6.106952407319934e-06,-22.466181995180463,-22.466181995180463,1124616.2275130653,1124616.2275130653,0.9608,0.9608,0.0392,0.0392,436.63602355778886,436.63602355778886,0.8608,0.8608
BrazilianHouses,10000,LinearGauss-Hetero,baseline,2500,ok,-6.367643928746577e-06,-6.303733899247044e-06,-22.274853356241515,-22.276105586282554,1108587.1546381947,1108614.0042826924,0.9468,0.9468,0.0532,0.0524,643.9281094222054,614.3946323978466,0.8468,0.8476
BrazilianHouses,10000,Student-t,baseline,2500,ok,-9.38740220365285e-05,-8.197558197867163e-05,-9.127339305482392,-9.08485050273153,1310.2244641566306,1452.6379320029741,0.3846369626792942,0.2815801829123452,1.0,1.0,13071.373314603856,11934.8489184416,0.09999999999999998,0.09999999999999998
BrazilianHouses,10000,LogNormal-Homo,baseline,2500,ok,-1.892568081957082e-05,-1.367319930995868e-05,-9.595430187879042,-9.562211836804448,2199.356713903734,2092.813552620725,0.3562081481271,0.2573719020166123,0.996,0.9888,14178.408001397132,11992.331785452063,0.09599999999999997,0.08879999999999999
BrazilianHouses,10000,LogNormal-Hetero,baseline,2500,ok,-1.1087691041043531e-05,-1.2168553233744306e-05,-9.727656118828628,-9.640606400085288,3605.8070406602146,2110.672031046492,0.41004299589928206,0.33908640079851443,0.9776,0.9764,28876.530949939697,14257.234005155477,0.0776,0.07640000000000002
BrazilianHouses,10000,MDN,baseline,2500,ok,-6.647932960496459e-05,-6.238263945812552e-05,-9.208289619182835,-9.19859230206226,1559.2487176485563,1577.283485010736,0.24276027478939566,0.22792930458581528,0.9972,0.996,12456.745567707088,11510.56041186071,0.09719999999999995,0.09599999999999997
BrazilianHouses,10000,Flow-Spline,baseline,2500,ok,-5.7137042746904275e-05,-7.470297547984479e-05,-10.152148814839066,-9.349205560497817,6506.258931384345,2073.0704043925425,0.36629558731808487,0.17241992900231218,0.9996,0.9864,85565.36691733012,16539.62021896659,0.09960000000000002,0.08640000000000003
BrazilianHouses,10000,Gamma-GLM,baseline,2500,ok,-4.9039004433264597e-05,-4.133539294723858e-05,-9.384765798341517,-9.388338396641934,2403.88225897931,2408.143829091524,0.31062745437853756,0.2514498740751264,0.9912,0.9784,13564.853793037093,11898.019785786248,0.09119999999999995,0.07840000000000003
BrazilianHouses,10000,LinGauss-Homo-Ridge,baseline,2500,ok,-6.226657075257096e-06,-6.226657075257096e-06,-22.45477581498741,-22.45477581498741,1123686.767043417,1123686.767043417,0.96,0.96,0.04,0.04,445.5469628140703,445.5469628140703,0.86,0.86
BrazilianHouses,10000,LinGauss-Hetero-Ridge,baseline,2500,ok,-5.645514681687366e-06,-5.574224766770109e-06,-22.392529442916317,-22.393829095469396,1118384.903168586,1118412.2907006438,0.9552,0.9552,0.0448,0.044,550.1456444260116,509.49127245525045,0.8552000000000001,0.856
BrazilianHouses,10000,Student-t-Ridge,baseline,2500,ok,-9.387405524964278e-05,-8.197558270163227e-05,-9.127339434821353,-9.084850504871303,1310.2239714140683,1452.6379235411082,0.3846366318013193,0.2815801829123452,1.0,1.0,13071.37799595195,11934.848943045426,0.09999999999999998,0.09999999999999998
BrazilianHouses,10000,LogNormal-Homo-Ridge,baseline,2500,ok,-8.9384278094084e-06,-3.716177088734267e-06,-9.624050527744066,-9.632116462001393,2202.458789221569,2186.1015859857644,0.3253522342696695,0.27658797972367277,0.9868,0.9792,12604.258692522822,11715.97782892134,0.08679999999999999,0.07919999999999994
BrazilianHouses,10000,LogNormal-Hetero-Ridge,baseline,2500,ok,-7.760945206016628e-06,-8.555063012251536e-06,-9.759950334160827,-9.687771085753349,3505.23493052321,2276.4883518089605,0.4114068281277931,0.35783210588104614,0.9628,0.966,22553.04872910271,13767.09020342156,0.06279999999999997,0.06599999999999995
BrazilianHouses,10000,Gamma-GLM-Ridge,baseline,2500,ok,-2.6779030143182718e-05,-1.76906450179237e-05,-9.509277866086602,-9.553018312652735,2326.674923707103,2463.053024449258,0.2574903983207171,0.2128267847828076,0.996,0.9788,13079.606614919445,12071.507788123936,0.09599999999999997,0.07879999999999998
BrazilianHouses,10000,BART-Homo,baseline,2500,ok,-2.872893396242365e-05,-6.003313055179873e-05,-10.6735092936153,-9.826939568019625,4805.357131601431,2169.7125121996196,0.5153366778130288,0.22110218547760752,0.9988,0.9696,51756.469892769266,21252.89333356819,0.0988,0.0696
BrazilianHouses,10000,CatMLP,baseline,2500,ok,-4.126892330226624e-05,-2.3617497620083114e-05,-10.291809053291118,-9.878500944156867,2983.157106965639,2352.0991072968336,0.2980875799092116,0.33402141305355876,0.9992,0.9808,35355.28603045344,15478.57334103313,0.09919999999999995,0.08079999999999998
BrazilianHouses,50,FlexCode-RF,baseline,13,skipped:too_small,-0.0002586305035090041,,-9.81033697232758,,1488.5834418165043,,0.2217747012284045,,0.9230769230769231,,16098.797941277251,,0.023076923076923106,
BrazilianHouses,50,TabPFN-2.5,foundation,13,skipped:too_small,-0.0035185263534426264,,-7.1944673472349905,,144.46361321969445,,0.41683576366217157,,0.9230769230769231,,1211.7854805609672,,0.023076923076923106,
